country_name,un_class_2014,imf_class_2023,g7,eu_member,fuel_exp_country,wealth_rank,gdp_ppp_2022,gdp_pc_2022
Congo,Developing,Emerging,No,No,Yes,150.0,3791.0,2448.0
Haiti,Developing,Emerging,No,No,No,151.0,3305.0,1748.0
Vanuatu,,Emerging,No,No,No,152.0,3289.0,3010.0
Guinea,Developing,Emerging,No,No,No,153.0,3187.0,1532.0
Tanzania,Developing,Emerging,No,No,No,154.0,3097.0,1156.0
Ethiopia,Developing,Emerging,No,No,No,155.0,2812.0,1028.0
Rwanda,Developing,Emerging,No,No,No,156.0,2792.0,966.0
Lesotho,Developing,Emerging,No,No,No,157.0,2695.0,1107.0
Uganda,Developing,Emerging,No,No,No,158.0,2694.0,964.0
Solomon Islands,,Emerging,No,No,No,159.0,2654.0,2203.0
Togo,Developing,Emerging,No,No,No,160.0,2608.0,918.0
Burkina Faso,Developing,Emerging,No,No,No,161.0,2546.0,833.0
Zimbabwe,Developing,Emerging,No,No,No,162.0,2531.0,1267.0
Mali,Developing,Emerging,No,No,No,163.0,2517.0,833.0
Gambia,Developing,Emerging,No,No,No,164.0,2510.0,840.0
Kiribati,,Emerging,No,No,No,165.0,2365.0,1702.0
Guinea-Bissau,Developing,Emerging,No,No,No,166.0,2190.0,776.0
Sierra Leone,Developing,Emerging,No,No,No,167.0,1931.0,461.0
Madagascar,Developing,Emerging,No,No,No,168.0,1774.0,505.0
Malawi,Developing,Emerging,No,No,No,169.0,1732.0,645.0
Liberia,Developing,Emerging,No,No,No,170.0,1725.0,755.0
Chad,Developing,Emerging,No,No,Yes,171.0,1668.0,717.0
Niger,Developing,Emerging,No,No,No,172.0,1505.0,533.0
Mozambique,Developing,Emerging,No,No,No,173.0,1468.0,541.0
Democratic Republic of Congo,Developing,Emerging,No,No,No,174.0,1337.0,586.0
Central African Republic,Developing,Emerging,No,No,No,175.0,967.0,427.0
Burundi,Developing,Emerging,No,No,No,176.0,836.0,238.0
Afghanistan,,Emerging,No,No,No,177.0,,
Northern Mariana Islands,Developing,Emerging,No,No,No,177.0,,
Turkmenistan,Transition,Emerging,No,No,Yes,177.0,,
American Samoa,,,No,No,No,,,
Aruba,,Emerging,No,No,No,,,
Bermuda,,,No,No,No,,,
Bhutan,,Emerging,No,No,No,,,
Cayman Islands,,,No,No,No,,,
Channel Islands,,,No,No,No,,,
Cuba,Developing,Emerging,No,No,No,,,
Djibouti,Developing,Emerging,No,No,No,,,
Eritrea,Developing,Emerging,No,No,No,,,
Faroe Islands,,,No,No,No,,,
Greenland,,,No,No,No,,,
Guam,,,No,No,No,,,
Isle of Man,,,No,No,No,,,
Lebanon,Developing,Emerging,No,No,No,,,
Lichtenstein,Developed,Advanced,No,No,No,,,
Monaco,Developed,Advanced,No,No,No,,,
Nauru,,Emerging,No,No,No,,,
Palau,,Emerging,No,No,No,,,
Puerto Rico (US),Developed,Advanced,No,No,No,,,
San Marino,,Advanced,No,No,No,,,
Somalia,Developing,Emerging,No,No,No,,,
South Sudan,,Emerging,No,No,No,,,
Syrian Arab Republic (Syria),Developing,Emerging,No,No,No,,,
Taiwan,Developing,Advanced,No,No,No,,,
Venezuela (Bolivarian Republic of),Developing,Emerging,No,No,Yes,,,
Yemen,Developing,Emerging,No,No,Yes,,,
Andorra,,Advanced,No,No,Yes,,,41993.0
